refrigerant;sorbent;sorbent-subtype;type;EoS;p_crit;T_crit;omega;kappa_1;beta_0;beta_1;beta_2;beta_3;validity-temperature-min;validity-temperature-max;comment;literature
-;-;-;-;in -;in Pa;in K;in -;in -;in -;in -;in -;in -;in K;in K;-;-
Propene;dum_sorb;dum_subtype;refrig;-5.0000000000E+00;4.5550000000E+06;3.6421000000E+02;1.4600000000E-01;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;1.0114595000E+02;3.0957850000E+02;;"Lemmon, E. W.; Bell, I. H.; Huber, M. L.; McLinden, M. O. (2018): NIST Standard Reference Database 23. Reference Fluid Thermodynamic and Transport Properties-REFPROP, Version 10.0, National Institute of Standards and Technology. Online: https://www.nist.gov/srd/refprop."
R-12;dum_sorb;dum_subtype;refrig;-5.0000000000E+00;4.1361000000E+06;3.8512000000E+02;1.7948000000E-01;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;1.3351500000E+02;3.2735200000E+02;;"Lemmon, E. W.; Bell, I. H.; Huber, M. L.; McLinden, M. O. (2018): NIST Standard Reference Database 23. Reference Fluid Thermodynamic and Transport Properties-REFPROP, Version 10.0, National Institute of Standards and Technology. Online: https://www.nist.gov/srd/refprop."
R-123;dum_sorb;dum_subtype;refrig;-5.0000000000E+00;3.6618000000E+06;4.5683000000E+02;2.8192000000E-01;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;1.9090000000E+02;3.8830550000E+02;;"Lemmon, E. W.; Bell, I. H.; Huber, M. L.; McLinden, M. O. (2018): NIST Standard Reference Database 23. Reference Fluid Thermodynamic and Transport Properties-REFPROP, Version 10.0, National Institute of Standards and Technology. Online: https://www.nist.gov/srd/refprop."
R-1234ze(E) ;dum_sorb;dum_subtype;refrig;-5.0000000000E+00;3.6349000000E+06;3.8251000000E+02;3.1300000000E-01;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;1.9435000000E+02;3.2513350000E+02;;"Lemmon, E. W.; Bell, I. H.; Huber, M. L.; McLinden, M. O. (2018): NIST Standard Reference Database 23. Reference Fluid Thermodynamic and Transport Properties-REFPROP, Version 10.0, National Institute of Standards and Technology. Online: https://www.nist.gov/srd/refprop."
R-125;dum_sorb;dum_subtype;refrig;-5.0000000000E+00;3.6177000000E+06;3.3917000000E+02;3.0520000000E-01;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;1.9839800000E+02;2.8829450000E+02;;"Lemmon, E. W.; Bell, I. H.; Huber, M. L.; McLinden, M. O. (2018): NIST Standard Reference Database 23. Reference Fluid Thermodynamic and Transport Properties-REFPROP, Version 10.0, National Institute of Standards and Technology. Online: https://www.nist.gov/srd/refprop."
R-134a;dum_sorb;dum_subtype;refrig;-5.0000000000E+00;4.0593000000E+06;3.7421000000E+02;3.2684000000E-01;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;1.9532750000E+02;3.1807850000E+02;;"Lemmon, E. W.; Bell, I. H.; Huber, M. L.; McLinden, M. O. (2018): NIST Standard Reference Database 23. Reference Fluid Thermodynamic and Transport Properties-REFPROP, Version 10.0, National Institute of Standards and Technology. Online: https://www.nist.gov/srd/refprop."
R-142b;dum_sorb;dum_subtype;refrig;-5.0000000000E+00;4.0550000000E+06;4.1026000000E+02;2.3210000000E-01;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;1.6412800000E+02;3.4872100000E+02;;"Lemmon, E. W.; Bell, I. H.; Huber, M. L.; McLinden, M. O. (2018): NIST Standard Reference Database 23. Reference Fluid Thermodynamic and Transport Properties-REFPROP, Version 10.0, National Institute of Standards and Technology. Online: https://www.nist.gov/srd/refprop."
R-143a;dum_sorb;dum_subtype;refrig;-5.0000000000E+00;3.7610000000E+06;3.4586000000E+02;2.6150000000E-01;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;1.8554100000E+02;2.9398100000E+02;;"Lemmon, E. W.; Bell, I. H.; Huber, M. L.; McLinden, M. O. (2018): NIST Standard Reference Database 23. Reference Fluid Thermodynamic and Transport Properties-REFPROP, Version 10.0, National Institute of Standards and Technology. Online: https://www.nist.gov/srd/refprop."
R-152a;dum_sorb;dum_subtype;refrig;-5.0000000000E+00;4.5168000000E+06;3.8641000000E+02;2.7521000000E-01;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;1.7774400000E+02;3.2844850000E+02;;"Lemmon, E. W.; Bell, I. H.; Huber, M. L.; McLinden, M. O. (2018): NIST Standard Reference Database 23. Reference Fluid Thermodynamic and Transport Properties-REFPROP, Version 10.0, National Institute of Standards and Technology. Online: https://www.nist.gov/srd/refprop."
R-22;dum_sorb;dum_subtype;refrig;-5.0000000000E+00;4.9900000000E+06;3.6930000000E+02;2.2082000000E-01;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;1.3308950000E+02;3.1390500000E+02;;"Lemmon, E. W.; Bell, I. H.; Huber, M. L.; McLinden, M. O. (2018): NIST Standard Reference Database 23. Reference Fluid Thermodynamic and Transport Properties-REFPROP, Version 10.0, National Institute of Standards and Technology. Online: https://www.nist.gov/srd/refprop."
