refrigerant;sorbent;sorbent-subtype;type;M;p_crit;T_crit;rho_crit;p_trip;T_trip;omega;validity-temperature-min;validity-temperature-max;comment;literature
-;-;-;-;in kg/mol;in Pa;in K;in kg/m3;in Pa;in Pa;in -;in K;in K;-;-
R-125;dum_sorb;dum_subtype;refrig;1.2002000000E-01;3.6177000000E+06;3.3917000000E+02;5.7358000000E+02;-1.0000000000E+00;1.7252000000E+02;3.0520000000E-01;;;;"Lemmon, E. W.; Bell, I. H.; Huber, M. L.; McLinden, M. O. (2018): NIST Standard Reference Database 23. Reference Fluid Thermodynamic and Transport Properties-REFPROP, Version 10.0, National Institute of Standards and Technology. Online: https://www.nist.gov/srd/refprop."
R-13 B1;dum_sorb;dum_subtype;refrig;1.4891000000E-01;3.9560000000E+06;3.4000000000E+02;2.9027290448E+01;-1.0000000000E+00;-1.0000000000E+00;-1.0000000000E+00;;;;"Lemmon, E. W.; Bell, I. H.; Huber, M. L.; McLinden, M. O. (2018): NIST Standard Reference Database 23. Reference Fluid Thermodynamic and Transport Properties-REFPROP, Version 10.0, National Institute of Standards and Technology. Online: https://www.nist.gov/srd/refprop."
R-134a;dum_sorb;dum_subtype;refrig;1.0203000000E-01;4.0593000000E+06;3.7421000000E+02;5.1190000000E+02;-1.0000000000E+00;1.6985000000E+02;3.2684000000E-01;;;;"Lemmon, E. W.; Bell, I. H.; Huber, M. L.; McLinden, M. O. (2018): NIST Standard Reference Database 23. Reference Fluid Thermodynamic and Transport Properties-REFPROP, Version 10.0, National Institute of Standards and Technology. Online: https://www.nist.gov/srd/refprop."
R-142b;dum_sorb;dum_subtype;refrig;1.0050000000E-01;4.0550000000E+06;4.1026000000E+02;4.4600000000E+02;-1.0000000000E+00;1.4272000000E+02;2.3210000000E-01;;;;"Lemmon, E. W.; Bell, I. H.; Huber, M. L.; McLinden, M. O. (2018): NIST Standard Reference Database 23. Reference Fluid Thermodynamic and Transport Properties-REFPROP, Version 10.0, National Institute of Standards and Technology. Online: https://www.nist.gov/srd/refprop."
R-143a;dum_sorb;dum_subtype;refrig;8.4041000000E-02;3.7610000000E+06;3.4586000000E+02;4.3100000000E+02;-1.0000000000E+00;1.6134000000E+02;2.6150000000E-01;;;;"Lemmon, E. W.; Bell, I. H.; Huber, M. L.; McLinden, M. O. (2018): NIST Standard Reference Database 23. Reference Fluid Thermodynamic and Transport Properties-REFPROP, Version 10.0, National Institute of Standards and Technology. Online: https://www.nist.gov/srd/refprop."
R-152a;dum_sorb;dum_subtype;refrig;6.6051000000E-02;4.5168000000E+06;3.8641000000E+02;3.6800000000E+02;-1.0000000000E+00;1.5456000000E+02;2.7521000000E-01;;;;"Lemmon, E. W.; Bell, I. H.; Huber, M. L.; McLinden, M. O. (2018): NIST Standard Reference Database 23. Reference Fluid Thermodynamic and Transport Properties-REFPROP, Version 10.0, National Institute of Standards and Technology. Online: https://www.nist.gov/srd/refprop."
R-22;dum_sorb;dum_subtype;refrig;8.6468000000E-02;4.9900000000E+06;3.6930000000E+02;5.2384000000E+02;-1.0000000000E+00;1.1573000000E+02;2.2082000000E-01;;;;"Lemmon, E. W.; Bell, I. H.; Huber, M. L.; McLinden, M. O. (2018): NIST Standard Reference Database 23. Reference Fluid Thermodynamic and Transport Properties-REFPROP, Version 10.0, National Institute of Standards and Technology. Online: https://www.nist.gov/srd/refprop."
R-227ea ;dum_sorb;dum_subtype;refrig;1.7003000000E-01;2.9250000000E+06;3.7490000000E+02;5.9425000000E+02;-1.0000000000E+00;1.4635000000E+02;3.5700000000E-01;;;;"Lemmon, E. W.; Bell, I. H.; Huber, M. L.; McLinden, M. O. (2018): NIST Standard Reference Database 23. Reference Fluid Thermodynamic and Transport Properties-REFPROP, Version 10.0, National Institute of Standards and Technology. Online: https://www.nist.gov/srd/refprop."
R-23;dum_sorb;dum_subtype;refrig;7.0014000000E-02;4.8320000000E+06;2.9929000000E+02;5.2650000000E+02;-1.0000000000E+00;1.1802000000E+02;2.6300000000E-01;;;;"Lemmon, E. W.; Bell, I. H.; Huber, M. L.; McLinden, M. O. (2018): NIST Standard Reference Database 23. Reference Fluid Thermodynamic and Transport Properties-REFPROP, Version 10.0, National Institute of Standards and Technology. Online: https://www.nist.gov/srd/refprop."
R-32;dum_sorb;dum_subtype;refrig;5.2024000000E-02;5.7820000000E+06;3.5126000000E+02;4.2400000000E+02;-1.0000000000E+00;1.3634000000E+02;2.7690000000E-01;;;;"Lemmon, E. W.; Bell, I. H.; Huber, M. L.; McLinden, M. O. (2018): NIST Standard Reference Database 23. Reference Fluid Thermodynamic and Transport Properties-REFPROP, Version 10.0, National Institute of Standards and Technology. Online: https://www.nist.gov/srd/refprop."
R-407c;dum_sorb;dum_subtype;refrig;8.6204000000E-02;4.6394000000E+06;3.5929000000E+02;4.8404000000E+02;-1.0000000000E+00;-1.0000000000E+00;-1.0000000000E+00;;;;"Lemmon, E. W.; Bell, I. H.; Huber, M. L.; McLinden, M. O. (2018): NIST Standard Reference Database 23. Reference Fluid Thermodynamic and Transport Properties-REFPROP, Version 10.0, National Institute of Standards and Technology. Online: https://www.nist.gov/srd/refprop."
R-410a;dum_sorb;dum_subtype;refrig;7.2585000000E-02;4.9011000000E+06;3.4449000000E+02;4.5908000000E+02;-1.0000000000E+00;-1.0000000000E+00;-1.0000000000E+00;;;;"Lemmon, E. W.; Bell, I. H.; Huber, M. L.; McLinden, M. O. (2018): NIST Standard Reference Database 23. Reference Fluid Thermodynamic and Transport Properties-REFPROP, Version 10.0, National Institute of Standards and Technology. Online: https://www.nist.gov/srd/refprop."
R-507a;dum_sorb;dum_subtype;refrig;9.8859000000E-02;3.7049000000E+06;3.4377000000E+02;4.9076000000E+02;-1.0000000000E+00;-1.0000000000E+00;-1.0000000000E+00;;;;"Lemmon, E. W.; Bell, I. H.; Huber, M. L.; McLinden, M. O. (2018): NIST Standard Reference Database 23. Reference Fluid Thermodynamic and Transport Properties-REFPROP, Version 10.0, National Institute of Standards and Technology. Online: https://www.nist.gov/srd/refprop."
THF;dum_sorb;dum_subtype;refrig;7.2105700000E-02;-1.0000000000E+00;-1.0000000000E+00;-1.0000000000E+00;-1.0000000000E+00;-1.0000000000E+00;-1.0000000000E+00;;;;"Lemmon, E. W.; Bell, I. H.; Huber, M. L.; McLinden, M. O. (2018): NIST Standard Reference Database 23. Reference Fluid Thermodynamic and Transport Properties-REFPROP, Version 10.0, National Institute of Standards and Technology. Online: https://www.nist.gov/srd/refprop."
Toluene;dum_sorb;dum_subtype;refrig;9.2138000000E-02;4.1263000000E+06;5.9175000000E+02;2.9199000000E+02;-1.0000000000E+00;1.7800000000E+02;2.6570000000E-01;;;;"Lemmon, E. W.; Bell, I. H.; Huber, M. L.; McLinden, M. O. (2018): NIST Standard Reference Database 23. Reference Fluid Thermodynamic and Transport Properties-REFPROP, Version 10.0, National Institute of Standards and Technology. Online: https://www.nist.gov/srd/refprop."
Water;dum_sorb;dum_subtype;refrig;1.8015000000E-02;2.2064000000E+07;6.4710000000E+02;3.2200000000E+02;-1.0000000000E+00;2.7316000000E+02;3.4430000000E-01;;;;"Lemmon, E. W.; Bell, I. H.; Huber, M. L.; McLinden, M. O. (2018): NIST Standard Reference Database 23. Reference Fluid Thermodynamic and Transport Properties-REFPROP, Version 10.0, National Institute of Standards and Technology. Online: https://www.nist.gov/srd/refprop."
